ch	t	pin	strips                  
0	0	77	111         
1	0	122	61          
2	0	73	109         
3	0	74	37          
4	0	134	68          
5	0	62	31          
6	0	130	65          
7	0	72	36          
8	0	144	72          
9	0	66	33          
10	0	138	69          
11	0	98	49          
12	0	132	66          
13	0	70	35          
14	0	89	117         
15	0	114	57          
16	0	81	113         
17	0	94	47          
18	0	83	114         
19	0	112	56          
20	0	67	106         
21	0	142	71          
22	0	71	108         
23	0	136	68          
24	0	69	107         
25	0	106	53          
26	0	63	104         
27	0	102	51          
28	0	65	105         
29	0	120	60          
30	0	87	116
31	0	118	59
32	0	76	38
33	0	128	64
34	0	78	39
35	0	124	62
36	0	79	112
37	0	96	48
38	0	85	115
39	0	110	55
40	0	135	120
41	0	126	63
42	0	64	32
43	0	86	43
44	0	82	41
45	0	141	123
46	0	80	40
47	0	140	70
48	0	75	110
49	0	116	58
50	0	139	122
51	0	100	50
52	0	137	121
53	0	92	46
54	0	90	45
55	0	108	54
56	0	84	42
57	0	143	124
58	0	68	34
59	0	88	44
60	0	104	52
61	0	133	119
62	0	-	-
63	0	-	-
0	1	21	83
1	1	28	14
2	1	42	21
3	1	1	73
4	1	7	76
5	1	52	26
6	1	18	9
7	1	26	13
8	1	48	24
9	1	20	10
10	1	50	25
11	1	3	74
12	1	9	77
13	1	32	16
14	1	17	81
15	1	15	80
16	1	33	89
17	1	44	22
18	1	56	28
19	1	13	79
20	1	31	88
21	1	46	23
22	1	5	75
23	1	11	78
24	1	54	27
25	1	22	11
26	1	23	84
27	1	30	15
28	1	35	90
29	1	24	12
30	1	58	29
31	1	34	17
32	1	60	30
33	1	12	6
34	1	59	102
35	1	36	18
36	1	57	101
37	1	16	8
38	1	61	103
39	1	14	7
40	1	49	97
41	1	8	4
42	1	55	100
43	1	10	5
44	1	53	99
45	1	2	1
46	1	47	96
47	1	4	2
48	1	51	98
49	1	25	85
50	1	41	93
51	1	29	87
52	1	43	94
53	1	40	20
54	1	6	3
55	1	27	86
56	1	39	92
57	1	38	19
58	1	45	95
59	1	37	91
60	1	19	82
61	1	91	118
62	1	-	-
63	1	-	-

